date_hour,QLD,TQQQ
2022-11-23 15:00:00,0.019620287114294754,0.02946638300783322
2022-11-25 15:00:00,-0.013766636443513836,-0.020894203651653065
2022-11-28 15:00:00,-0.03011821717397911,-0.045023651341876914
2022-11-29 15:00:00,-0.014897393414134541,-0.024258091782651814
2022-11-30 15:00:00,0.08739286460741358,0.12604073668498073
2022-12-01 15:00:00,0.0018629683796045349,0.005502698032053832
2022-12-02 15:00:00,-0.007942123214432772,-0.011889763736959047
2022-12-05 15:00:00,-0.03532581343444363,-0.0517205950102535
2022-12-06 15:00:00,-0.042179472559241926,-0.06552865497165694
2022-12-07 15:00:00,-0.008653570714810765,-0.012080337809698083
2022-12-08 15:00:00,0.023994051388879445,0.03487336108643069
2022-12-09 15:00:00,-0.01306227224785994,-0.019436571948349357
2022-12-12 15:00:00,0.023983159442889423,0.035734924578396665
2022-12-13 15:00:00,0.02149045313244846,0.03092560898442498
2022-12-14 15:00:00,-0.015583401108070216,-0.024021105824553413
2022-12-15 15:00:00,-0.0696066061117464,-0.1043416881838195
2022-12-16 15:00:00,-0.019928911263244142,-0.029976412177942002
2022-12-19 15:00:00,-0.02748099993352815,-0.042331432036009975
2022-12-20 15:00:00,-0.0027623683195492355,-0.004388327668835679
2022-12-21 15:00:00,0.028900525321353676,0.04251370235874097
2022-12-22 15:00:00,-0.05089473812720424,-0.07372504655352152
2022-12-23 15:00:00,0.004809798123718068,0.0028465282835847816
2022-12-27 15:00:00,-0.03066581261137813,-0.0435735495489431
2022-12-28 15:00:00,-0.02684130549689634,-0.04121797422458995
2022-12-29 15:00:00,0.04729424606759114,0.06816741375255653
2022-12-30 15:00:00,-0.0008557632539285542,0.0
2023-01-03 15:00:00,-0.014082764064759168,-0.022801303516226668
2023-01-04 15:00:00,0.009506101531853162,0.015258525465869699
2023-01-05 15:00:00,-0.033229502798437505,-0.0483243108706759
2023-01-06 15:00:00,0.05366146813130612,0.07532964749606297
2023-01-09 15:00:00,0.013115891458577167,0.020758155918246146
2023-01-10 15:00:00,0.016770169253420786,0.02630286112388891
2023-01-11 15:00:00,0.03324697339129834,0.04855835629926508
2023-01-12 15:00:00,0.009448905596443513,0.015337685395121259
2023-01-13 15:00:00,0.013750446069836553,0.019593759328885962
2023-01-17 15:00:00,0.0033439839114133285,0.005457652071195529
2023-01-18 15:00:00,-0.026016036366728112,-0.03781645640358677
2023-01-19 15:00:00,-0.020234937809117337,-0.031848095580091496
2023-01-20 15:00:00,0.054435155594360296,0.0785316205213551
2023-01-23 15:00:00,0.04287798554461597,0.06364921854986605
2023-01-24 15:00:00,-0.004647155865973307,-0.006000440851607003
2023-01-25 15:00:00,-0.005408106078211183,-0.00743497123874981
2023-01-26 15:00:00,0.03796852419598995,0.05622513120326866
2023-01-27 15:00:00,0.019504832303025132,0.028256590447857555
2023-01-30 15:00:00,-0.042063951321739346,-0.06188450641742982
2023-01-31 15:00:00,0.03035969819446649,0.04371791345938458
2023-02-01 15:00:00,0.04241244313630377,0.06259969739807847
2023-02-02 15:00:00,0.06804453011952694,0.09832477186534572
2023-02-03 15:00:00,-0.03671908069757279,-0.05303548265447322
2023-02-06 15:00:00,-0.01676268040387008,-0.02580018485391511
2023-02-07 15:00:00,0.04075087707320302,0.06008042897126353
2023-02-08 15:00:00,-0.037198478778449395,-0.05526698484346104
2023-02-09 15:00:00,-0.018566644910732233,-0.027176691138304232
2023-02-10 15:00:00,-0.012724583649430077,-0.02077349343421142
2023-02-13 15:00:00,0.03173440291121388,0.04634830166085413
2023-02-14 15:00:00,0.013423033853442234,0.021412356632481977
2023-02-15 15:00:00,0.016045480084787123,0.022115341794568977
2023-02-16 15:00:00,-0.03993517743299346,-0.058875377090892744
2023-02-17 15:00:00,-0.014430902330011541,-0.02180702636191434
2023-02-21 15:00:00,-0.048631199313721396,-0.07289280962293221
